
{'loss': 1.7778, 'grad_norm': 0.46793779730796814, 'learning_rate': 8.794961280484156e-05, 'epoch': 0.46}
{'loss': 1.7656, 'grad_norm': 0.48586514592170715, 'learning_rate': 8.59254939929201e-05, 'epoch': 0.49}
{'loss': 1.7637, 'grad_norm': 0.48624953627586365, 'learning_rate': 8.589004733461998e-05, 'epoch': 0.5}
{'loss': 1.7618, 'grad_norm': 0.5025326013565063, 'learning_rate': 8.58545634274932e-05, 'epoch': 0.5}
{'loss': 1.7619, 'grad_norm': 0.4750637114048004, 'learning_rate': 8.581904230836703e-05, 'epoch': 0.5}
{'loss': 1.7619, 'grad_norm': 0.46654418110847473, 'learning_rate': 8.57834840141074e-05, 'epoch': 0.5}
{'loss': 1.7574, 'grad_norm': 0.488094300031662, 'learning_rate': 8.574788858161888e-05, 'epoch': 0.5}
{'loss': 1.7555, 'grad_norm': 0.4974338710308075, 'learning_rate': 8.571225604784445e-05, 'epoch': 0.5}
{'loss': 1.7606, 'grad_norm': 0.4821089208126068, 'learning_rate': 8.567658644976573e-05, 'epoch': 0.5}
{'loss': 1.7584, 'grad_norm': 0.47733375430107117, 'learning_rate': 8.564087982440275e-05, 'epoch': 0.5}
{'loss': 1.7601, 'grad_norm': 0.473131388425827, 'learning_rate': 8.560513620881391e-05, 'epoch': 0.5}
{'loss': 1.7638, 'grad_norm': 0.5115098357200623, 'learning_rate': 8.556935564009614e-05, 'epoch': 0.5}
{'loss': 1.7599, 'grad_norm': 0.4699947237968445, 'learning_rate': 8.55335381553846e-05, 'epoch': 0.5}
{'loss': 1.7591, 'grad_norm': 0.4701962471008301, 'learning_rate': 8.549768379185281e-05, 'epoch': 0.5}
{'loss': 1.7612, 'grad_norm': 0.48084011673927307, 'learning_rate': 8.546179258671257e-05, 'epoch': 0.5}
{'loss': 1.7579, 'grad_norm': 0.47583645582199097, 'learning_rate': 8.542586457721392e-05, 'epoch': 0.5}
{'loss': 1.7618, 'grad_norm': 0.4882979393005371, 'learning_rate': 8.538989980064505e-05, 'epoch': 0.5}
{'eval_loss': 1.7622264623641968, 'eval_runtime': 838.2276, 'eval_samples_per_second': 238.599, 'eval_steps_per_second': 29.825, 'epoch': 0.5}
{'loss': 1.7575, 'grad_norm': 0.4640005826950073, 'learning_rate': 8.535389829433237e-05, 'epoch': 0.5}
{'loss': 1.7558, 'grad_norm': 0.489454448223114, 'learning_rate': 8.531786009564039e-05, 'epoch': 0.51}
{'loss': 1.7608, 'grad_norm': 0.4798283874988556, 'learning_rate': 8.528178524197168e-05, 'epoch': 0.51}
{'loss': 1.7566, 'grad_norm': 0.47752073407173157, 'learning_rate': 8.524567377076688e-05, 'epoch': 0.51}
{'loss': 1.7587, 'grad_norm': 0.47628816962242126, 'learning_rate': 8.520952571950462e-05, 'epoch': 0.51}
{'loss': 1.7505, 'grad_norm': 0.47946712374687195, 'learning_rate': 8.51733411257015e-05, 'epoch': 0.51}
{'loss': 1.7567, 'grad_norm': 0.4748212397098541, 'learning_rate': 8.513712002691206e-05, 'epoch': 0.51}
{'loss': 1.7526, 'grad_norm': 0.4876038730144501, 'learning_rate': 8.51008624607287e-05, 'epoch': 0.51}
{'loss': 1.7515, 'grad_norm': 0.47949057817459106, 'learning_rate': 8.506456846478165e-05, 'epoch': 0.51}
{'loss': 1.7568, 'grad_norm': 0.47583532333374023, 'learning_rate': 8.502823807673901e-05, 'epoch': 0.51}
{'loss': 1.7545, 'grad_norm': 0.4859157204627991, 'learning_rate': 8.499187133430664e-05, 'epoch': 0.51}
{'loss': 1.759, 'grad_norm': 0.46480846405029297, 'learning_rate': 8.495546827522807e-05, 'epoch': 0.51}
{'loss': 1.7428, 'grad_norm': 0.4779011607170105, 'learning_rate': 8.491902893728455e-05, 'epoch': 0.51}
{'loss': 1.7573, 'grad_norm': 0.47624343633651733, 'learning_rate': 8.488255335829505e-05, 'epoch': 0.51}
{'loss': 1.7579, 'grad_norm': 0.48243170976638794, 'learning_rate': 8.484604157611604e-05, 'epoch': 0.51}
{'loss': 1.7595, 'grad_norm': 0.4966827929019928, 'learning_rate': 8.480949362864165e-05, 'epoch': 0.51}
{'loss': 1.7491, 'grad_norm': 0.4850069284439087, 'learning_rate': 8.47729095538035e-05, 'epoch': 0.52}
{'loss': 1.7532, 'grad_norm': 0.48200157284736633, 'learning_rate': 8.473628938957075e-05, 'epoch': 0.52}
{'loss': 1.755, 'grad_norm': 0.4707356095314026, 'learning_rate': 8.469963317394993e-05, 'epoch': 0.52}
{'loss': 1.7542, 'grad_norm': 0.48361924290657043, 'learning_rate': 8.46629409449851e-05, 'epoch': 0.52}
{'eval_loss': 1.7568025588989258, 'eval_runtime': 839.7889, 'eval_samples_per_second': 238.155, 'eval_steps_per_second': 29.769, 'epoch': 0.52}
{'loss': 1.7557, 'grad_norm': 0.46862995624542236, 'learning_rate': 8.462621274075761e-05, 'epoch': 0.52}
{'loss': 1.7535, 'grad_norm': 0.4750642776489258, 'learning_rate': 8.458944859938617e-05, 'epoch': 0.52}
{'loss': 1.7467, 'grad_norm': 0.49024006724357605, 'learning_rate': 8.455264855902681e-05, 'epoch': 0.52}
{'loss': 1.7522, 'grad_norm': 0.4617011547088623, 'learning_rate': 8.451581265787278e-05, 'epoch': 0.52}
{'loss': 1.7537, 'grad_norm': 0.48823949694633484, 'learning_rate': 8.447894093415461e-05, 'epoch': 0.52}
{'loss': 1.7524, 'grad_norm': 0.4788581132888794, 'learning_rate': 8.444203342613992e-05, 'epoch': 0.52}
{'loss': 1.7547, 'grad_norm': 0.4796103537082672, 'learning_rate': 8.440509017213354e-05, 'epoch': 0.52}
{'loss': 1.7509, 'grad_norm': 0.473831444978714, 'learning_rate': 8.43681112104774e-05, 'epoch': 0.52}
{'loss': 1.7502, 'grad_norm': 0.4827161729335785, 'learning_rate': 8.433109657955043e-05, 'epoch': 0.52}
{'loss': 1.7557, 'grad_norm': 0.4912954568862915, 'learning_rate': 8.429404631776862e-05, 'epoch': 0.52}
{'loss': 1.7498, 'grad_norm': 0.4620477557182312, 'learning_rate': 8.425696046358497e-05, 'epoch': 0.52}
{'loss': 1.7544, 'grad_norm': 0.4683067798614502, 'learning_rate': 8.421983905548934e-05, 'epoch': 0.52}
{'loss': 1.7489, 'grad_norm': 0.49274322390556335, 'learning_rate': 8.418268213200858e-05, 'epoch': 0.53}
{'loss': 1.7467, 'grad_norm': 0.479922354221344, 'learning_rate': 8.414548973170633e-05, 'epoch': 0.53}
{'loss': 1.7465, 'grad_norm': 0.4691923260688782, 'learning_rate': 8.410826189318309e-05, 'epoch': 0.53}
{'loss': 1.7514, 'grad_norm': 0.49304184317588806, 'learning_rate': 8.407099865507609e-05, 'epoch': 0.53}
{'loss': 1.7435, 'grad_norm': 0.4718420207500458, 'learning_rate': 8.40337000560594e-05, 'epoch': 0.53}
{'loss': 1.7513, 'grad_norm': 0.4521216154098511, 'learning_rate': 8.399636613484365e-05, 'epoch': 0.53}
{'loss': 1.7471, 'grad_norm': 0.48473599553108215, 'learning_rate': 8.395899693017628e-05, 'epoch': 0.53}
{'loss': 1.7488, 'grad_norm': 0.4704456329345703, 'learning_rate': 8.392159248084121e-05, 'epoch': 0.53}
{'eval_loss': 1.7519471645355225, 'eval_runtime': 838.3318, 'eval_samples_per_second': 238.569, 'eval_steps_per_second': 29.821, 'epoch': 0.53}
{'loss': 1.7503, 'grad_norm': 0.4689621329307556, 'learning_rate': 8.388415282565905e-05, 'epoch': 0.53}
{'loss': 1.7445, 'grad_norm': 0.4682116210460663, 'learning_rate': 8.384667800348687e-05, 'epoch': 0.53}
{'loss': 1.7501, 'grad_norm': 0.4771151840686798, 'learning_rate': 8.38091680532183e-05, 'epoch': 0.53}
{'loss': 1.7464, 'grad_norm': 0.49311691522598267, 'learning_rate': 8.377162301378338e-05, 'epoch': 0.53}
{'loss': 1.7451, 'grad_norm': 0.4711065888404846, 'learning_rate': 8.373404292414856e-05, 'epoch': 0.53}
{'loss': 1.7468, 'grad_norm': 0.47395265102386475, 'learning_rate': 8.369642782331676e-05, 'epoch': 0.53}
{'loss': 1.7479, 'grad_norm': 0.4755008816719055, 'learning_rate': 8.365877775032712e-05, 'epoch': 0.53}
{'loss': 1.7441, 'grad_norm': 0.4720551669597626, 'learning_rate': 8.362109274425512e-05, 'epoch': 0.54}
{'loss': 1.7489, 'grad_norm': 0.47356411814689636, 'learning_rate': 8.358337284421254e-05, 'epoch': 0.54}
{'loss': 1.7475, 'grad_norm': 0.46946465969085693, 'learning_rate': 8.35456180893473e-05, 'epoch': 0.54}
{'loss': 1.739, 'grad_norm': 0.46824538707733154, 'learning_rate': 8.350782851884355e-05, 'epoch': 0.54}
{'loss': 1.7479, 'grad_norm': 0.48662126064300537, 'learning_rate': 8.347000417192154e-05, 'epoch': 0.54}
{'loss': 1.7448, 'grad_norm': 0.4776906371116638, 'learning_rate': 8.343214508783767e-05, 'epoch': 0.54}
{'loss': 1.7455, 'grad_norm': 0.48826244473457336, 'learning_rate': 8.33942513058843e-05, 'epoch': 0.54}
{'loss': 1.7418, 'grad_norm': 0.49232131242752075, 'learning_rate': 8.335632286538987e-05, 'epoch': 0.54}
{'loss': 1.7446, 'grad_norm': 0.47362595796585083, 'learning_rate': 8.331835980571878e-05, 'epoch': 0.54}
{'loss': 1.748, 'grad_norm': 0.46481558680534363, 'learning_rate': 8.328036216627134e-05, 'epoch': 0.54}
{'loss': 1.7451, 'grad_norm': 0.5225870013237, 'learning_rate': 8.324232998648376e-05, 'epoch': 0.54}
{'loss': 1.7406, 'grad_norm': 0.48189041018486023, 'learning_rate': 8.320426330582812e-05, 'epoch': 0.54}
{'loss': 1.7414, 'grad_norm': 0.47176024317741394, 'learning_rate': 8.316616216381228e-05, 'epoch': 0.54}
{'eval_loss': 1.7466567754745483, 'eval_runtime': 844.9424, 'eval_samples_per_second': 236.703, 'eval_steps_per_second': 29.588, 'epoch': 0.54}
{'loss': 1.7409, 'grad_norm': 0.4900408685207367, 'learning_rate': 8.312802659997984e-05, 'epoch': 0.54}
{'loss': 1.741, 'grad_norm': 0.49019694328308105, 'learning_rate': 8.308985665391019e-05, 'epoch': 0.54}
{'loss': 1.7449, 'grad_norm': 0.48270365595817566, 'learning_rate': 8.305165236521837e-05, 'epoch': 0.54}
{'loss': 1.7393, 'grad_norm': 0.4766291379928589, 'learning_rate': 8.301341377355505e-05, 'epoch': 0.55}
{'loss': 1.7395, 'grad_norm': 0.4794165790081024, 'learning_rate': 8.297514091860653e-05, 'epoch': 0.55}
{'loss': 1.7454, 'grad_norm': 0.4657420217990875, 'learning_rate': 8.293683384009465e-05, 'epoch': 0.55}
{'loss': 1.7364, 'grad_norm': 0.5119495391845703, 'learning_rate': 8.289849257777678e-05, 'epoch': 0.55}
{'loss': 1.7348, 'grad_norm': 0.48155224323272705, 'learning_rate': 8.286011717144574e-05, 'epoch': 0.55}
{'loss': 1.7387, 'grad_norm': 0.49044281244277954, 'learning_rate': 8.282170766092985e-05, 'epoch': 0.55}
{'loss': 1.738, 'grad_norm': 0.48920848965644836, 'learning_rate': 8.278326408609275e-05, 'epoch': 0.55}
{'loss': 1.7392, 'grad_norm': 0.49275901913642883, 'learning_rate': 8.274478648683348e-05, 'epoch': 0.55}
{'loss': 1.741, 'grad_norm': 0.46763843297958374, 'learning_rate': 8.270627490308638e-05, 'epoch': 0.55}
{'loss': 1.736, 'grad_norm': 0.487180233001709, 'learning_rate': 8.26677293748211e-05, 'epoch': 0.55}
{'loss': 1.7355, 'grad_norm': 0.4762434959411621, 'learning_rate': 8.262914994204242e-05, 'epoch': 0.55}
{'loss': 1.7462, 'grad_norm': 0.4832471013069153, 'learning_rate': 8.259053664479042e-05, 'epoch': 0.55}
{'loss': 1.737, 'grad_norm': 0.48385506868362427, 'learning_rate': 8.255188952314025e-05, 'epoch': 0.55}
{'loss': 1.7399, 'grad_norm': 0.4759386479854584, 'learning_rate': 8.25132086172022e-05, 'epoch': 0.55}
{'loss': 1.74, 'grad_norm': 0.47838327288627625, 'learning_rate': 8.247449396712162e-05, 'epoch': 0.55}
{'loss': 1.7358, 'grad_norm': 0.46783143281936646, 'learning_rate': 8.243574561307888e-05, 'epoch': 0.56}
{'loss': 1.7391, 'grad_norm': 0.4799003303050995, 'learning_rate': 8.239696359528932e-05, 'epoch': 0.56}
{'eval_loss': 1.7416678667068481, 'eval_runtime': 841.3287, 'eval_samples_per_second': 237.719, 'eval_steps_per_second': 29.715, 'epoch': 0.56}
{'loss': 1.7405, 'grad_norm': 0.5060023665428162, 'learning_rate': 8.235814795400323e-05, 'epoch': 0.56}
{'loss': 1.7309, 'grad_norm': 0.48085060715675354, 'learning_rate': 8.23192987295058e-05, 'epoch': 0.56}
{'loss': 1.7398, 'grad_norm': 0.46748408675193787, 'learning_rate': 8.228041596211704e-05, 'epoch': 0.56}
{'loss': 1.7377, 'grad_norm': 0.4941455125808716, 'learning_rate': 8.224149969219183e-05, 'epoch': 0.56}
{'loss': 1.7381, 'grad_norm': 0.4987999498844147, 'learning_rate': 8.220254996011977e-05, 'epoch': 0.56}
{'loss': 1.7411, 'grad_norm': 0.4638858735561371, 'learning_rate': 8.216356680632522e-05, 'epoch': 0.56}
{'loss': 1.7369, 'grad_norm': 0.4727058410644531, 'learning_rate': 8.212455027126722e-05, 'epoch': 0.56}
{'loss': 1.7339, 'grad_norm': 0.4837151765823364, 'learning_rate': 8.208550039543944e-05, 'epoch': 0.56}
{'loss': 1.7339, 'grad_norm': 0.47543907165527344, 'learning_rate': 8.204641721937017e-05, 'epoch': 0.56}
{'loss': 1.7394, 'grad_norm': 0.48779696226119995, 'learning_rate': 8.200730078362225e-05, 'epoch': 0.56}
{'loss': 1.7309, 'grad_norm': 0.47512394189834595, 'learning_rate': 8.196815112879307e-05, 'epoch': 0.56}
{'loss': 1.7347, 'grad_norm': 0.4848869740962982, 'learning_rate': 8.192896829551444e-05, 'epoch': 0.56}
{'loss': 1.7337, 'grad_norm': 0.46275395154953003, 'learning_rate': 8.188975232445264e-05, 'epoch': 0.56}
{'loss': 1.7365, 'grad_norm': 0.5100669264793396, 'learning_rate': 8.185050325630837e-05, 'epoch': 0.57}
{'loss': 1.7307, 'grad_norm': 0.4637226164340973, 'learning_rate': 8.18112211318166e-05, 'epoch': 0.57}
{'loss': 1.7357, 'grad_norm': 0.4729391038417816, 'learning_rate': 8.177190599174669e-05, 'epoch': 0.57}
{'loss': 1.7325, 'grad_norm': 0.4791228473186493, 'learning_rate': 8.173255787690222e-05, 'epoch': 0.57}
{'loss': 1.7312, 'grad_norm': 0.46762001514434814, 'learning_rate': 8.169317682812101e-05, 'epoch': 0.57}
{'loss': 1.732, 'grad_norm': 0.4736689031124115, 'learning_rate': 8.165376288627504e-05, 'epoch': 0.57}
{'loss': 1.7358, 'grad_norm': 0.47360894083976746, 'learning_rate': 8.161431609227048e-05, 'epoch': 0.57}
{'eval_loss': 1.7367850542068481, 'eval_runtime': 839.6074, 'eval_samples_per_second': 238.207, 'eval_steps_per_second': 29.776, 'epoch': 0.57}
{'loss': 1.7313, 'grad_norm': 0.4925321340560913, 'learning_rate': 8.157483648704752e-05, 'epoch': 0.57}
{'loss': 1.7291, 'grad_norm': 0.46516117453575134, 'learning_rate': 8.153532411158047e-05, 'epoch': 0.57}
{'loss': 1.7333, 'grad_norm': 0.49158310890197754, 'learning_rate': 8.14957790068776e-05, 'epoch': 0.57}
{'loss': 1.7252, 'grad_norm': 0.49382421374320984, 'learning_rate': 8.145620121398121e-05, 'epoch': 0.57}
{'loss': 1.7354, 'grad_norm': 0.4885900020599365, 'learning_rate': 8.141659077396745e-05, 'epoch': 0.57}
{'loss': 1.7348, 'grad_norm': 0.47435399889945984, 'learning_rate': 8.13769477279464e-05, 'epoch': 0.57}
{'loss': 1.7303, 'grad_norm': 0.4626077115535736, 'learning_rate': 8.133727211706201e-05, 'epoch': 0.57}
{'loss': 1.7319, 'grad_norm': 0.4771836996078491, 'learning_rate': 8.129756398249192e-05, 'epoch': 0.57}
{'loss': 1.7319, 'grad_norm': 0.46875253319740295, 'learning_rate': 8.125782336544767e-05, 'epoch': 0.57}
{'loss': 1.7275, 'grad_norm': 0.4728790521621704, 'learning_rate': 8.121805030717438e-05, 'epoch': 0.58}
{'loss': 1.726, 'grad_norm': 0.4643963873386383, 'learning_rate': 8.117824484895093e-05, 'epoch': 0.58}
{'loss': 1.7291, 'grad_norm': 0.4803164303302765, 'learning_rate': 8.113840703208976e-05, 'epoch': 0.58}
{'loss': 1.7249, 'grad_norm': 0.4948155879974365, 'learning_rate': 8.109853689793697e-05, 'epoch': 0.58}
{'loss': 1.7302, 'grad_norm': 0.4584730863571167, 'learning_rate': 8.105863448787214e-05, 'epoch': 0.58}
{'loss': 1.7337, 'grad_norm': 0.4764247536659241, 'learning_rate': 8.101869984330835e-05, 'epoch': 0.58}
{'loss': 1.7241, 'grad_norm': 0.47898492217063904, 'learning_rate': 8.097873300569215e-05, 'epoch': 0.58}
{'loss': 1.7286, 'grad_norm': 0.46280309557914734, 'learning_rate': 8.093873401650352e-05, 'epoch': 0.58}
{'loss': 1.734, 'grad_norm': 0.4703883230686188, 'learning_rate': 8.089870291725578e-05, 'epoch': 0.58}
{'loss': 1.7272, 'grad_norm': 0.4678155779838562, 'learning_rate': 8.085863974949561e-05, 'epoch': 0.58}
{'loss': 1.7313, 'grad_norm': 0.4984460771083832, 'learning_rate': 8.081854455480291e-05, 'epoch': 0.58}
{'eval_loss': 1.7319103479385376, 'eval_runtime': 837.4447, 'eval_samples_per_second': 238.822, 'eval_steps_per_second': 29.853, 'epoch': 0.58}
{'loss': 1.7327, 'grad_norm': 0.47615987062454224, 'learning_rate': 8.07784173747909e-05, 'epoch': 0.58}
{'loss': 1.7295, 'grad_norm': 0.45911064743995667, 'learning_rate': 8.073825825110592e-05, 'epoch': 0.58}
{'loss': 1.729, 'grad_norm': 0.4663051664829254, 'learning_rate': 8.069806722542751e-05, 'epoch': 0.58}
{'loss': 1.729, 'grad_norm': 0.4742058217525482, 'learning_rate': 8.065784433946832e-05, 'epoch': 0.58}
{'loss': 1.7304, 'grad_norm': 0.4743017256259918, 'learning_rate': 8.061758963497404e-05, 'epoch': 0.59}
{'loss': 1.7267, 'grad_norm': 0.4592844545841217, 'learning_rate': 8.057730315372341e-05, 'epoch': 0.59}
{'loss': 1.7257, 'grad_norm': 0.46719539165496826, 'learning_rate': 8.053698493752813e-05, 'epoch': 0.59}
{'loss': 1.725, 'grad_norm': 0.47473201155662537, 'learning_rate': 8.049663502823282e-05, 'epoch': 0.59}
{'loss': 1.7255, 'grad_norm': 0.4779554605484009, 'learning_rate': 8.045625346771505e-05, 'epoch': 0.59}
{'loss': 1.7277, 'grad_norm': 0.49976837635040283, 'learning_rate': 8.041584029788522e-05, 'epoch': 0.59}
{'loss': 1.7267, 'grad_norm': 0.46899718046188354, 'learning_rate': 8.037539556068649e-05, 'epoch': 0.59}
{'loss': 1.7216, 'grad_norm': 0.4859115481376648, 'learning_rate': 8.033491929809481e-05, 'epoch': 0.59}
{'loss': 1.7227, 'grad_norm': 0.47577226161956787, 'learning_rate': 8.029441155211888e-05, 'epoch': 0.59}
{'loss': 1.7291, 'grad_norm': 0.47646379470825195, 'learning_rate': 8.025387236480003e-05, 'epoch': 0.59}
{'loss': 1.7233, 'grad_norm': 0.46489033102989197, 'learning_rate': 8.021330177821224e-05, 'epoch': 0.59}
{'loss': 1.7196, 'grad_norm': 0.5115362405776978, 'learning_rate': 8.01726998344621e-05, 'epoch': 0.59}
{'loss': 1.724, 'grad_norm': 0.4756157100200653, 'learning_rate': 8.013206657568871e-05, 'epoch': 0.59}
{'loss': 1.7227, 'grad_norm': 0.4622804820537567, 'learning_rate': 8.009140204406368e-05, 'epoch': 0.59}
{'loss': 1.726, 'grad_norm': 0.47988951206207275, 'learning_rate': 8.005070628179108e-05, 'epoch': 0.59}
{'loss': 1.7279, 'grad_norm': 0.4590438902378082, 'learning_rate': 8.00099793311074e-05, 'epoch': 0.59}
